application_id,program_category,country,bit_program_applied,degree_language,previous_gpa,math_physics_background_score,research_alignment_score,publication_count,recommendation_strength,interview_score,english_test_type,english_score,chinese_proficiency,admission_decision,scholarship_tier
BIT20250013,Chinese Language,Ethiopia,Chinese Language and Culture,Chinese-taught,2.34,2.3,5.1,0,6.2,67.9,DUOLINGO,100.15382273045697,HSK4,Rejected,No Scholarship
BIT20250014,Undergraduate,Kazakhstan,Economics,English-taught,3.51,4.7,5.0,0,9.4,76.6,IELTS,7.0284991989772605,HSK2,Admitted,No Scholarship
BIT20250015,Undergraduate,Morocco,Foreign Languages,English-taught,2.78,7.0,6.1,0,8.5,78.8,IELTS,6.6345393478314945,HSK2,Admitted,No Scholarship
BIT20250016,Undergraduate,Kenya,Mechatronical Engineering,English-taught,3.0,5.9,5.6,2,7.5,97.4,TOEFL,73.89029314953108,HSK1,Rejected,No Scholarship
BIT20250017,Undergraduate,Ethiopia,Physics,English-taught,3.12,4.5,3.0,1,4.9,47.5,IELTS,5.90138752772715,HSK3,Rejected,No Scholarship
BIT20250018,Postgraduate,Russia,Aeronautical and Astronautical Science and Technology,English-taught,2.7,6.3,0.0,0,4.1,52.2,TOEFL,79.20128617545596,HSK1,Rejected,No Scholarship
BIT20250019,Postgraduate,Thailand,Optical Engineering,English-taught,3.03,6.5,4.2,1,6.5,55.4,IELTS,5.15988937559992,HSK1,Rejected,No Scholarship
BIT20250020,Undergraduate,Egypt,Economics,English-taught,3.1,3.6,4.7,1,2.3,59.4,TOEFL,78.7926033235796,HSK2,Rejected,No Scholarship
BIT20250021,Postgraduate,Russia,Cyberspace Science and Technology,English-taught,2.23,4.0,2.8,0,4.9,68.7,DUOLINGO,47.66930270568233,HSK1,Rejected,No Scholarship
BIT20250022,Undergraduate,India,Medical Technology,English-taught,2.58,6.1,5.6,0,9.4,59.5,TOEFL,92.34219202519698,HSK1,Rejected,No Scholarship
BIT20250023,Undergraduate,Brazil,Materials Science and Engineering,English-taught,2.8,6.9,4.3,0,5.5,76.2,IELTS,6.117366369266425,HSK2,Rejected,No Scholarship
BIT20250024,Undergraduate,Egypt,Foreign Languages,English-taught,3.87,8.5,7.4,3,8.3,86.4,TOEFL,92.84403333508475,HSK3,Admitted,Full Scholarship
BIT20250025,Postgraduate,Kenya,Materials Science and Technology,Chinese-taught,2.48,5.1,4.9,0,8.5,87.7,TOEFL,94.93946367199743,HSK3,Rejected,No Scholarship
BIT20250026,Chinese Language,France,Chinese Language and Culture,Chinese-taught,2.89,7.0,4.4,0,7.6,76.4,DUOLINGO,102.86028666916825,HSK5,Admitted,No Scholarship
BIT20250027,Undergraduate,Russia,Aerospace Engineering,Chinese-taught,3.98,3.4,7.1,1,6.7,69.1,IELTS,6.92411652156742,HSK4,Admitted,No Scholarship
BIT20250028,Postgraduate,India,Computer Science and Technology,English-taught,2.5,6.7,2.8,1,5.5,56.7,TOEFL,71.65280948071087,HSK1,Rejected,No Scholarship
BIT20250029,Postgraduate,Pakistan,Management Science and Engineering,Chinese-taught,2.84,6.3,3.7,1,6.9,59.1,IELTS,4.848324408070953,HSK3,Rejected,No Scholarship
BIT20250030,Undergraduate,Egypt,Law,English-taught,2.97,7.8,6.4,0,6.0,70.1,TOEFL,76.3814751521659,HSK3,Rejected,No Scholarship
BIT20250031,Postgraduate,Mongolia,Education,English-taught,2.21,6.6,2.2,0,6.0,68.4,IELTS,4.6579969977323845,HSK1,Rejected,No Scholarship
BIT20250032,Undergraduate,Kazakhstan,Computer Science and Technology,Chinese-taught,3.83,9.0,6.9,2,8.6,97.5,DUOLINGO,128.19027339592483,HSK5,Admitted,Full Scholarship
BIT20250033,Undergraduate,Indonesia,Economics,English-taught,3.74,8.9,7.7,3,5.8,65.6,TOEFL,109.96182987817474,HSK1,Rejected,No Scholarship
BIT20250034,Dual Degree,Indonesia,Joint Computer Science Program,Chinese-taught,3.65,8.1,8.8,0,8.7,100.0,DUOLINGO,127.60768824711613,HSK6,Admitted,Full Scholarship
BIT20250035,Dual Degree,India,Joint Mechanical Engineering,English-taught,2.96,2.9,4.8,0,7.3,67.7,TOEFL,48.055524777362855,HSK2,Rejected,No Scholarship
BIT20250036,Chinese Language,Thailand,Chinese Language and Culture,Chinese-taught,3.36,9.3,6.8,0,6.1,88.1,IELTS,6.472040526808141,HSK4,Admitted,No Scholarship
BIT20250037,Undergraduate,Egypt,Management,Chinese-taught,3.39,4.9,5.7,0,7.5,78.0,IELTS,6.091511318823973,HSK5,Admitted,No Scholarship
BIT20250038,Undergraduate,Russia,Chemistry and Chemical Engineering,English-taught,2.78,4.4,6.7,0,7.6,74.9,TOEFL,91.24100941198826,HSK2,Rejected,No Scholarship
BIT20250039,Postgraduate,Thailand,Instrument Science and Technology,English-taught,2.71,3.9,3.1,0,5.3,73.0,DUOLINGO,73.0969129441262,HSK3,Rejected,No Scholarship
BIT20250040,Postgraduate,Indonesia,Instrument Science and Technology,English-taught,2.94,7.1,4.8,1,7.2,75.8,DUOLINGO,134.62032755357993,HSK2,Rejected,No Scholarship
BIT20250041,Undergraduate,Mongolia,Physics,Chinese-taught,1.83,7.7,0.0,0,5.8,67.4,DUOLINGO,81.48287544777605,HSK3,Rejected,No Scholarship
BIT20250042,Postgraduate,France,Education,English-taught,3.66,8.6,5.2,1,6.6,92.9,TOEFL,96.47608400995354,HSK1,Admitted,No Scholarship
BIT20250043,Undergraduate,Brazil,Art and Design,Chinese-taught,2.71,5.7,3.7,0,5.3,64.4,IELTS,5.465926279454022,HSK3,Rejected,No Scholarship
BIT20250044,Dual Degree,Brazil,Joint Business Administration Program,English-taught,3.64,7.7,6.8,3,9.5,82.3,IELTS,7.2632766648466065,HSK2,Admitted,Partial Scholarship
BIT20250045,Undergraduate,Morocco,Mathematics and Statistics,English-taught,3.28,6.2,5.4,0,6.6,76.1,DUOLINGO,115.54848666661198,HSK1,Admitted,No Scholarship
BIT20250046,Postgraduate,Thailand,Optical Engineering,English-taught,3.24,6.1,7.6,1,7.6,98.1,IELTS,6.770068259074314,HSK2,Admitted,No Scholarship
BIT20250047,Undergraduate,Malaysia,Chemistry and Chemical Engineering,English-taught,3.71,7.0,7.4,2,10.0,87.7,IELTS,7.404845087272341,HSK2,Admitted,Full Scholarship
BIT20250048,Postgraduate,Kenya,Law,Chinese-taught,3.26,8.0,5.5,0,7.7,68.2,TOEFL,99.24810092339803,HSK5,Rejected,No Scholarship
BIT20250049,Postgraduate,France,Biomedical Engineering,English-taught,2.83,4.0,5.4,0,6.6,78.4,IELTS,7.48385705669308,HSK1,Rejected,No Scholarship
BIT20250050,Undergraduate,Brazil,Medical Technology,English-taught,2.19,2.5,4.3,1,5.2,71.8,TOEFL,81.93376071813978,HSK1,Rejected,No Scholarship
BIT20250051,Dual Degree,France,Joint Computer Science Program,English-taught,3.78,10.0,7.1,1,6.4,97.1,IELTS,7.504990397242365,HSK1,Admitted,Partial Scholarship
BIT20250052,Chinese Language,India,Chinese Language and Culture,Chinese-taught,3.22,2.9,3.4,0,5.7,83.4,IELTS,5.0539449500012505,HSK3,Rejected,No Scholarship
BIT20250053,Dual Degree,France,Joint Business Administration Program,English-taught,3.05,5.3,6.2,1,7.5,84.2,IELTS,7.022456935222666,HSK3,Admitted,No Scholarship
BIT20250054,Chinese Language,Zimbabwe,Chinese Language and Culture,Chinese-taught,3.28,5.2,4.6,1,7.6,89.6,TOEFL,97.72090620886198,HSK5,Admitted,Partial Scholarship
BIT20250055,Postgraduate,Mongolia,Biomedical Engineering,Chinese-taught,2.78,7.8,3.6,0,7.3,47.1,TOEFL,94.95079922023126,HSK4,Rejected,No Scholarship
BIT20250056,Dual Degree,Brazil,Joint Mechanical Engineering,English-taught,2.77,4.7,4.4,0,5.4,44.2,IELTS,4.837015319012142,HSK1,Rejected,No Scholarship
BIT20250057,Undergraduate,France,Foreign Languages,English-taught,3.27,4.5,5.9,0,6.6,78.8,IELTS,6.7171569101155075,HSK2,Admitted,No Scholarship
BIT20250058,Undergraduate,Thailand,Information and Electronics,Chinese-taught,3.67,5.2,5.7,0,7.1,68.2,DUOLINGO,67.09712647340054,HSK5,Admitted,No Scholarship
BIT20250059,Undergraduate,Pakistan,Automation,Chinese-taught,2.32,5.2,3.2,1,6.1,75.9,TOEFL,100.52368929970481,HSK3,Rejected,No Scholarship
BIT20250060,Undergraduate,Zimbabwe,Foreign Languages,English-taught,3.55,9.3,10.0,0,8.0,86.3,TOEFL,105.70551972455458,HSK2,Admitted,Partial Scholarship
BIT20250061,Undergraduate,Zimbabwe,Chemistry and Chemical Engineering,English-taught,2.26,5.1,6.4,0,6.7,55.2,TOEFL,53.97859957300649,HSK1,Rejected,No Scholarship
BIT20250062,Undergraduate,Kenya,Management,English-taught,2.44,2.6,5.1,0,6.1,73.8,TOEFL,69.02304650761243,HSK1,Rejected,No Scholarship
BIT20250063,Chinese Language,France,Chinese Language and Culture,Chinese-taught,2.79,1.8,5.5,0,4.7,80.3,TOEFL,91.03383547609896,HSK3,Rejected,No Scholarship
BIT20250064,Undergraduate,Morocco,Mathematics and Statistics,English-taught,2.25,2.5,4.1,0,4.9,60.8,DUOLINGO,116.64258392306266,HSK3,Rejected,No Scholarship
BIT20250065,Undergraduate,Kenya,Life Science,Chinese-taught,3.52,8.2,8.2,1,8.2,82.5,IELTS,7.711455069584922,HSK5,Admitted,Partial Scholarship
BIT20250066,Postgraduate,Ethiopia,Computer Science and Technology,English-taught,2.69,3.8,3.3,0,5.0,74.4,DUOLINGO,90.05568842309177,HSK2,Rejected,No Scholarship
BIT20250067,Undergraduate,Kenya,Life Science,English-taught,2.35,2.7,6.3,0,7.5,83.5,TOEFL,67.85122523604595,HSK1,Rejected,No Scholarship
BIT20250068,Chinese Language,Pakistan,Chinese Language and Culture,Chinese-taught,2.5,6.6,3.8,0,5.8,46.3,TOEFL,113.78182132238679,HSK3,Rejected,No Scholarship
BIT20250069,Undergraduate,India,Economics,English-taught,3.39,3.4,6.1,0,6.0,67.0,TOEFL,90.03832189852493,HSK1,Rejected,No Scholarship
BIT20250070,Dual Degree,France,Joint Business Administration Program,English-taught,3.11,7.6,4.2,0,7.5,61.7,DUOLINGO,96.68871985098743,HSK3,Admitted,No Scholarship
BIT20250071,Chinese Language,Russia,Chinese Language and Culture,Chinese-taught,2.7,1.6,5.5,0,5.6,70.5,TOEFL,77.07860811147508,HSK3,Rejected,No Scholarship
BIT20250072,Undergraduate,Indonesia,Automation,English-taught,2.18,3.7,5.2,1,7.4,47.6,IELTS,6.62772948202325,HSK3,Rejected,No Scholarship
BIT20250073,Undergraduate,Brazil,Physics,English-taught,3.63,7.3,6.4,3,7.9,94.4,TOEFL,107.99513013403104,HSK1,Admitted,Partial Scholarship
BIT20250074,Chinese Language,Kenya,Chinese Language and Culture,Chinese-taught,2.67,7.3,2.3,0,6.5,66.4,DUOLINGO,95.84767728158371,HSK3,Rejected,No Scholarship
BIT20250075,Postgraduate,Mongolia,Optical Engineering,English-taught,1.7,3.8,3.1,0,5.6,55.3,TOEFL,64.77889673830015,HSK1,Rejected,No Scholarship
BIT20250076,Postgraduate,Kazakhstan,Design,English-taught,3.14,4.4,1.5,0,7.0,77.0,DUOLINGO,83.92899459584565,HSK1,Rejected,No Scholarship
BIT20250077,Chinese Language,Mongolia,Chinese Language and Culture,Chinese-taught,3.0,9.5,5.3,0,9.5,70.0,TOEFL,86.14011115927269,HSK5,Admitted,No Scholarship
BIT20250078,Undergraduate,Pakistan,Mathematics and Statistics,English-taught,3.44,2.7,3.7,0,4.7,65.6,TOEFL,63.94295755144699,HSK1,Rejected,No Scholarship
BIT20250079,Undergraduate,Pakistan,Management,English-taught,3.3,4.3,4.8,4,8.4,96.0,TOEFL,100.11309030574155,HSK1,Admitted,No Scholarship
BIT20250080,Undergraduate,Thailand,Humanities and Social Sciences,English-taught,2.15,8.8,4.7,0,5.5,62.6,TOEFL,69.4268696442427,HSK2,Rejected,No Scholarship
BIT20250081,Chinese Language,Ethiopia,Chinese Language and Culture,Chinese-taught,3.57,9.8,8.3,3,8.4,84.5,TOEFL,100.03685028867824,HSK5,Admitted,Partial Scholarship
BIT20250082,Postgraduate,Ethiopia,Information and Communication Engineering,English-taught,2.97,5.8,3.1,0,5.0,61.2,TOEFL,100.1451554458524,HSK1,Rejected,No Scholarship
BIT20250083,Undergraduate,India,Art and Design,English-taught,3.72,8.4,6.8,1,5.7,63.4,DUOLINGO,79.28955208984644,HSK1,Rejected,No Scholarship
BIT20250084,Undergraduate,Morocco,Foreign Languages,English-taught,3.07,6.1,1.2,0,6.8,96.1,IELTS,6.9325292244402785,HSK1,Admitted,No Scholarship
BIT20250085,Undergraduate,Brazil,Art and Design,English-taught,2.45,4.0,3.8,0,4.9,64.1,DUOLINGO,101.93085621790296,HSK1,Rejected,No Scholarship
BIT20250086,Undergraduate,Egypt,Law,English-taught,3.13,6.9,6.9,2,6.7,71.4,TOEFL,112.77734356289004,HSK2,Admitted,No Scholarship
BIT20250087,Postgraduate,Kenya,Law,Chinese-taught,2.98,4.3,3.3,0,5.3,49.6,DUOLINGO,49.503578118802366,HSK3,Rejected,No Scholarship
BIT20250088,Postgraduate,Mongolia,Education,Chinese-taught,3.74,9.4,8.7,3,6.3,100.0,TOEFL,110.61400572236123,HSK6,Admitted,Partial Scholarship
BIT20250089,Chinese Language,Kazakhstan,Chinese Language and Culture,Chinese-taught,3.59,6.9,6.4,2,8.7,100.0,DUOLINGO,127.23400972515834,HSK5,Admitted,Partial Scholarship
BIT20250090,Postgraduate,Pakistan,Control Science and Engineering,Chinese-taught,3.61,7.5,7.3,1,9.4,90.6,TOEFL,112.50090137140549,HSK6,Admitted,Partial Scholarship
BIT20250091,Undergraduate,Pakistan,Optics and Photonics,English-taught,2.67,3.8,2.4,1,5.8,81.6,IELTS,4.452148738032055,HSK2,Rejected,No Scholarship
BIT20250092,Postgraduate,India,Information and Communication Engineering,Chinese-taught,3.81,6.6,4.3,1,7.4,79.5,TOEFL,105.20716009439231,HSK4,Admitted,No Scholarship
BIT20250093,Chinese Language,Kazakhstan,Chinese Language and Culture,Chinese-taught,2.04,3.3,5.0,0,7.7,53.8,TOEFL,87.5447236745678,HSK4,Rejected,No Scholarship
BIT20250094,Postgraduate,Malaysia,Cyberspace Science and Technology,English-taught,3.63,6.4,6.9,2,9.4,83.6,TOEFL,103.75971397366706,HSK3,Admitted,Partial Scholarship
BIT20250095,Chinese Language,Kazakhstan,Chinese Language and Culture,Chinese-taught,3.05,7.3,2.4,1,7.3,79.5,TOEFL,73.8917563715705,HSK4,Admitted,No Scholarship
BIT20250096,Postgraduate,India,Law,English-taught,2.69,5.2,4.8,0,7.4,90.4,IELTS,7.20679761436716,HSK2,Rejected,No Scholarship
BIT20250097,Postgraduate,Pakistan,Cyberspace Science and Technology,English-taught,2.8,3.8,5.7,2,7.6,62.5,DUOLINGO,66.19089268708932,HSK3,Rejected,No Scholarship
BIT20250098,Postgraduate,Brazil,Materials Science and Technology,Chinese-taught,3.14,3.6,4.0,0,7.0,84.7,IELTS,5.93428658337977,HSK4,Rejected,No Scholarship
BIT20250099,Undergraduate,France,Computer Science and Technology,English-taught,2.43,8.0,2.4,0,6.2,71.0,TOEFL,65.88832859472699,HSK1,Rejected,No Scholarship
BIT20250100,Undergraduate,France,Humanities and Social Sciences,English-taught,3.36,6.5,4.1,0,6.0,62.4,TOEFL,99.67771915844553,HSK2,Admitted,No Scholarship
BIT20250101,Undergraduate,India,Computer Science and Technology,Chinese-taught,2.3,7.4,3.4,0,6.9,73.1,DUOLINGO,65.58507368998771,HSK3,Rejected,No Scholarship
BIT20250102,Postgraduate,Kazakhstan,Design,Chinese-taught,3.03,8.3,5.2,0,7.7,92.7,TOEFL,93.88045083376585,HSK4,Rejected,No Scholarship
BIT20250103,Undergraduate,Kenya,Medical Technology,English-taught,2.61,6.9,6.5,0,7.1,75.7,TOEFL,95.37179522604481,HSK1,Admitted,No Scholarship
BIT20250104,Postgraduate,India,Optical Engineering,English-taught,2.62,5.0,4.7,1,6.9,79.2,IELTS,5.8113215446622295,HSK1,Rejected,No Scholarship
BIT20250105,Dual Degree,Brazil,Joint Computer Science Program,English-taught,3.07,4.4,3.5,0,3.9,61.9,IELTS,5.588780302844768,HSK3,Rejected,No Scholarship
BIT20250106,Undergraduate,India,Optics and Photonics,Chinese-taught,3.11,4.5,5.7,1,8.2,72.5,TOEFL,99.68561041061264,HSK4,Admitted,No Scholarship
BIT20250107,Postgraduate,Zimbabwe,Management Science and Engineering,English-taught,3.18,3.9,5.8,0,3.7,61.7,IELTS,7.1204550302851235,HSK2,Rejected,No Scholarship
BIT20250108,Chinese Language,Ethiopia,Chinese Language and Culture,Chinese-taught,2.65,5.2,5.3,0,7.9,61.8,TOEFL,88.334639679953,HSK3,Rejected,No Scholarship
BIT20250109,Undergraduate,Mongolia,Life Science,English-taught,2.39,2.7,4.3,0,4.4,74.9,IELTS,5.347890862874327,HSK1,Rejected,No Scholarship
BIT20250110,Undergraduate,Kazakhstan,Foreign Languages,Chinese-taught,2.85,6.3,3.1,0,5.2,62.2,DUOLINGO,20.730908759255477,HSK3,Rejected,No Scholarship
BIT20250111,Undergraduate,Morocco,Computer Science and Technology,English-taught,2.45,6.5,6.4,0,7.8,66.1,DUOLINGO,90.17226138538089,HSK2,Rejected,No Scholarship
BIT20250112,Undergraduate,Thailand,Mechatronical Engineering,English-taught,2.92,7.1,5.5,0,6.3,67.0,TOEFL,114.22514776130798,HSK2,Admitted,No Scholarship
BIT20250113,Dual Degree,Indonesia,Joint Computer Science Program,English-taught,2.33,2.9,5.7,0,4.9,55.6,IELTS,4.466251168268075,HSK3,Rejected,No Scholarship
BIT20250114,Chinese Language,Thailand,Chinese Language and Culture,Chinese-taught,2.27,3.1,4.9,0,5.9,61.4,IELTS,3.5172509340189735,HSK4,Rejected,No Scholarship
BIT20250115,Postgraduate,Kazakhstan,Applied Economics,English-taught,3.72,7.7,7.5,3,9.1,85.7,TOEFL,99.36499096445071,HSK3,Admitted,Partial Scholarship
BIT20250116,Chinese Language,Morocco,Chinese Language and Culture,Chinese-taught,2.19,4.0,3.9,0,6.3,97.9,TOEFL,90.14844992740137,HSK3,Rejected,No Scholarship
BIT20250117,Chinese Language,Egypt,Chinese Language and Culture,Chinese-taught,3.14,6.0,4.1,0,7.1,97.8,TOEFL,87.32548346341203,HSK4,Admitted,No Scholarship
BIT20250118,Undergraduate,Brazil,Cyberspace Science and Technology,English-taught,3.0,6.3,7.2,0,7.1,73.8,TOEFL,82.99431119085658,HSK3,Rejected,No Scholarship
BIT20250119,Chinese Language,Zimbabwe,Chinese Language and Culture,Chinese-taught,3.75,7.7,9.2,1,8.3,92.6,IELTS,7.61722709791601,HSK6,Admitted,Full Scholarship
BIT20250120,Postgraduate,Zimbabwe,Statistics,English-taught,3.57,5.3,3.8,0,5.4,92.0,IELTS,6.65768098042786,HSK1,Rejected,No Scholarship
BIT20250121,Chinese Language,Indonesia,Chinese Language and Culture,Chinese-taught,3.07,5.4,7.4,1,6.7,74.8,IELTS,7.47594813316007,HSK4,Admitted,No Scholarship
BIT20250122,Chinese Language,Pakistan,Chinese Language and Culture,Chinese-taught,3.28,5.9,6.0,1,6.2,84.0,IELTS,6.202845662174247,HSK4,Admitted,No Scholarship
BIT20250123,Undergraduate,Mongolia,Management,English-taught,2.98,2.9,4.2,0,5.8,61.8,IELTS,5.10928404112199,HSK2,Rejected,No Scholarship
BIT20250124,Undergraduate,France,Physics,English-taught,2.35,6.1,4.7,0,6.3,89.5,IELTS,5.039952320197241,HSK2,Rejected,No Scholarship
BIT20250125,Undergraduate,Russia,Mathematics and Statistics,English-taught,2.29,4.8,3.8,0,6.0,61.8,TOEFL,64.3126261360437,HSK1,Rejected,No Scholarship
BIT20250126,Postgraduate,Brazil,Mechanical Engineering,Chinese-taught,3.88,8.5,7.0,1,9.5,100.0,IELTS,7.616931833998843,HSK6,Admitted,Partial Scholarship
BIT20250127,Chinese Language,Indonesia,Chinese Language and Culture,Chinese-taught,2.82,1.4,2.0,0,6.4,71.6,TOEFL,69.80771525726973,HSK3,Rejected,No Scholarship
BIT20250128,Chinese Language,Russia,Chinese Language and Culture,Chinese-taught,3.36,7.1,3.8,0,7.5,87.8,IELTS,4.940476996975287,HSK5,Admitted,Partial Scholarship
BIT20250129,Undergraduate,Malaysia,Chemistry and Chemical Engineering,Chinese-taught,3.17,5.0,4.4,0,5.1,50.2,TOEFL,87.38513794640697,HSK3,Rejected,No Scholarship
BIT20250130,Postgraduate,Russia,Optical Engineering,English-taught,3.56,5.3,5.8,0,7.1,100.0,IELTS,6.867173106196766,HSK1,Admitted,No Scholarship
BIT20250131,Postgraduate,Kazakhstan,Education,English-taught,2.63,3.8,2.3,0,4.9,77.0,IELTS,4.087897301307059,HSK3,Rejected,No Scholarship
BIT20250132,Undergraduate,Indonesia,Law,English-taught,3.71,6.8,6.3,1,8.4,94.7,IELTS,7.781390966728563,HSK1,Admitted,Partial Scholarship
BIT20250133,Undergraduate,Thailand,Chemistry and Chemical Engineering,Chinese-taught,3.18,4.9,5.0,1,6.5,78.1,DUOLINGO,69.3903207190285,HSK5,Admitted,No Scholarship
BIT20250134,Undergraduate,Thailand,Information and Electronics,English-taught,2.89,4.2,3.9,0,7.0,75.1,TOEFL,60.44080051317252,HSK1,Rejected,No Scholarship
BIT20250135,Dual Degree,France,Joint Computer Science Program,Chinese-taught,2.96,6.2,7.0,0,7.0,84.9,TOEFL,108.75363177152897,HSK4,Admitted,No Scholarship
BIT20250136,Undergraduate,Indonesia,Cyberspace Science and Technology,English-taught,3.27,6.8,3.3,0,6.8,90.3,DUOLINGO,120.99659226288088,HSK1,Admitted,No Scholarship
BIT20250137,Postgraduate,Kazakhstan,Materials Science and Technology,Chinese-taught,3.39,7.3,5.3,1,6.0,87.3,TOEFL,100.20098456241872,HSK4,Admitted,No Scholarship
BIT20250138,Postgraduate,Russia,Aeronautical and Astronautical Science and Technology,Chinese-taught,2.62,4.6,5.2,0,4.9,62.3,IELTS,4.386624131633459,HSK4,Rejected,No Scholarship
BIT20250139,Undergraduate,Morocco,Humanities and Social Sciences,Chinese-taught,2.63,2.3,2.6,0,7.1,58.8,TOEFL,83.99889021975304,HSK4,Rejected,No Scholarship
BIT20250140,Dual Degree,Malaysia,Joint Business Administration Program,English-taught,3.31,4.3,2.6,0,5.8,79.2,DUOLINGO,85.12728973275561,HSK3,Rejected,No Scholarship
BIT20250141,Dual Degree,Egypt,Joint Mechanical Engineering,English-taught,1.96,4.0,1.1,0,2.9,52.6,TOEFL,40.16912142252942,HSK3,Rejected,No Scholarship
BIT20250142,Undergraduate,Ethiopia,Mechatronical Engineering,English-taught,3.56,7.4,7.8,2,7.3,90.6,IELTS,7.078041952840695,HSK3,Admitted,Partial Scholarship
BIT20250143,Postgraduate,Kenya,Business Administration,English-taught,2.04,5.6,4.7,0,7.6,59.8,DUOLINGO,102.52253556992838,HSK2,Rejected,No Scholarship
BIT20250144,Undergraduate,Thailand,Information and Electronics,English-taught,3.38,6.2,6.0,2,8.2,92.6,TOEFL,61.01196825248954,HSK3,Rejected,No Scholarship
BIT20250145,Undergraduate,Brazil,Mechatronical Engineering,English-taught,2.46,2.6,2.7,0,6.5,61.7,TOEFL,76.66176558509035,HSK1,Rejected,No Scholarship
BIT20250146,Undergraduate,Morocco,Physics,English-taught,2.82,5.4,6.9,0,8.7,86.9,TOEFL,91.42232703114614,HSK1,Admitted,No Scholarship
BIT20250147,Postgraduate,Brazil,Control Science and Engineering,English-taught,2.93,9.5,4.6,0,7.9,85.8,TOEFL,82.45337265162533,HSK1,Rejected,No Scholarship
BIT20250148,Postgraduate,Pakistan,Chemical Engineering and Technology,English-taught,3.6,7.6,8.5,2,8.8,86.0,TOEFL,105.06061603717951,HSK1,Admitted,Partial Scholarship
BIT20250149,Undergraduate,Indonesia,Life Science,English-taught,3.4,1.9,2.1,0,5.1,48.2,DUOLINGO,69.86306978343524,HSK1,Rejected,No Scholarship
BIT20250150,Undergraduate,India,Cyberspace Science and Technology,Chinese-taught,2.96,3.8,2.4,0,5.9,62.9,TOEFL,77.85531634528937,HSK3,Rejected,No Scholarship
BIT20250151,Dual Degree,Kenya,Joint Business Administration Program,English-taught,2.0,4.2,5.1,0,4.5,81.5,IELTS,4.86279344793293,HSK2,Rejected,No Scholarship
BIT20250152,Undergraduate,Thailand,Mechatronical Engineering,English-taught,2.41,2.3,3.1,0,6.8,51.6,TOEFL,86.17970830742924,HSK2,Rejected,No Scholarship
BIT20250153,Undergraduate,Malaysia,Aerospace Engineering,English-taught,2.93,3.4,1.6,0,6.6,67.1,IELTS,5.73781065588418,HSK2,Rejected,No Scholarship
BIT20250154,Postgraduate,Zimbabwe,Statistics,Chinese-taught,2.58,6.2,3.9,0,6.8,63.2,IELTS,4.142712266349517,HSK4,Rejected,No Scholarship
BIT20250155,Dual Degree,Thailand,Joint Computer Science Program,English-taught,2.96,9.0,2.6,0,4.3,80.5,TOEFL,94.89725985019034,HSK3,Rejected,No Scholarship
BIT20250156,Undergraduate,Morocco,Mechanical Engineering,English-taught,2.88,5.9,5.9,0,6.6,71.1,IELTS,6.376759275265225,HSK2,Admitted,No Scholarship
BIT20250157,Postgraduate,Pakistan,Aeronautical and Astronautical Science and Technology,English-taught,3.36,2.1,6.5,0,6.3,57.2,IELTS,2.9460555187491897,HSK1,Rejected,No Scholarship
