application_id,program_category,bit_program_applied,degree_language,previous_gpa,academic_ranking_percentile,math_physics_background_score,research_alignment_score,publication_count,technical_competitions,english_test_type,english_score,chinese_proficiency,chinese_study_duration_months,language_certificate_authenticity,home_country,belt_road_country,developing_country,previous_china_experience,bit_partner_university,age,gender,financial_guarantee_available,family_income_tier,sponsorship_type,previous_scholarship,scholarship_essay_score,interview_score,sop_score,recommendation_strength,cultural_adaptability_score,document_authenticity_score,health_certificate_status,previous_visa_refusals,application_completeness_score,admission_decision,scholarship_tier,scholarship_amount_rmb
BIT20250011,Undergraduate,Information and Electronics,English-taught,3.65,74,7.7,4.6,1,1,IELTS,94.1,HSK2,1,0.81,Zimbabwe,1,0,0,0,27,Male,1,Low,Government,0,5.9,84.1,6.8,9.9,6.6,0.99,Valid,0,0.89,Admitted,NO_SCHOLARSHIP,0
BIT20250012,Dual Degree,Joint Computer Science Program,English-taught,3.89,63,7.5,8.9,0,2,IELTS,81.1,HSK3,1,0.71,Mongolia,0,1,0,1,24,Male,1,Low,Government,0,9.0,90.4,7.8,7.1,9.2,0.93,Valid,2,0.91,Rejected,None,0
BIT20250013,Chinese Language,Chinese Language and Culture,Chinese-taught,3.06,68,7.3,0.9,2,1,TOEFL,82.6,HSK6,2,0.83,Mongolia,1,0,0,0,24,Male,1,Medium,Self-funded,1,9.9,83.5,6.0,7.5,10.0,0.98,Valid,0,0.9,Admitted,NO_SCHOLARSHIP,0
BIT20250014,Undergraduate,Law,English-taught,3.21,19,7.8,9.9,0,2,IELTS,92.1,HSK3,7,0.93,Mongolia,0,1,1,1,26,Female,1,Medium,Company,1,9.6,73.2,8.1,9.4,6.6,0.79,Valid,0,0.99,Admitted,Partial,20100
BIT20250015,Undergraduate,Aerospace Engineering,Chinese-taught,2.64,28,5.6,9.5,1,1,TOEFL,92.3,HSK5,7,0.85,India,1,1,0,0,33,Male,1,Low,Company,1,7.7,84.9,6.0,6.3,8.6,0.72,Valid,1,0.86,Admitted,NO_SCHOLARSHIP,0
BIT20250016,Undergraduate,Aerospace Engineering,English-taught,3.14,85,4.5,0.8,0,2,TOEFL,93.0,HSK2,9,0.89,India,1,0,0,0,32,Male,1,High,University,0,9.9,80.7,5.8,5.9,5.9,0.87,Valid,0,0.81,Rejected,None,0
BIT20250017,Undergraduate,Law,English-taught,3.7,78,4.7,9.3,1,1,IELTS,82.0,NO_EXAM,9,0.89,Egypt,1,1,0,0,20,Male,1,Medium,Self-funded,1,6.4,71.6,6.9,5.7,8.7,0.84,Valid,0,0.93,Admitted,Full,59485
BIT20250018,Postgraduate,Power Engineering and Engineering Thermophysics,English-taught,3.11,33,5.3,3.6,0,2,TOEFL,91.1,NO_EXAM,9,0.9,Morocco,1,0,0,0,30,Female,1,Low,University,0,7.1,92.6,9.0,9.9,7.2,0.92,Valid,0,0.92,Admitted,Full,48088
BIT20250019,Postgraduate,Physics,English-taught,3.56,10,7.0,8.4,0,0,TOEFL,96.1,NO_EXAM,11,0.82,France,1,0,0,1,28,Female,1,Low,Self-funded,0,5.5,79.5,5.9,6.4,8.0,0.86,Valid,0,0.98,Admitted,Full,52652
BIT20250020,Undergraduate,Information and Electronics,Chinese-taught,3.22,83,9.0,4.2,0,4,IELTS,84.0,HSK5,9,0.81,Russia,1,1,0,1,25,Male,1,Medium,Government,0,9.4,68.8,5.6,8.8,6.2,0.82,Valid,0,0.82,Rejected,None,0
BIT20250021,Postgraduate,Control Science and Engineering,English-taught,3.43,30,8.2,4.4,1,3,IELTS,79.9,NO_EXAM,10,0.7,Indonesia,1,1,0,0,23,Male,1,Low,Self-funded,0,5.1,70.4,5.2,7.2,9.3,0.7,Valid,0,0.9,Admitted,NO_SCHOLARSHIP,0
BIT20250022,Undergraduate,Physics,English-taught,2.84,22,8.7,6.3,1,2,TOEFL,98.4,NO_EXAM,11,0.75,Mongolia,1,0,0,0,27,Male,1,High,Company,1,7.7,85.3,7.1,6.2,5.9,0.84,Valid,1,0.83,Rejected,None,0
BIT20250023,Undergraduate,Life Science,Chinese-taught,3.33,3,6.1,7.7,1,0,NO_EXAM,78.5,HSK5,7,0.99,Zimbabwe,0,1,1,1,34,Male,1,Medium,Government,0,8.8,90.5,6.4,9.6,9.6,0.74,Valid,0,0.89,Admitted,NO_SCHOLARSHIP,0
BIT20250024,Undergraduate,Mechanical Engineering,English-taught,2.1,82,6.4,0.3,1,0,IELTS,91.3,NO_EXAM,6,0.95,France,1,0,1,0,26,Male,0,High,Government,0,7.6,84.8,6.5,7.3,5.3,0.98,Valid,0,0.96,Admitted,NO_SCHOLARSHIP,0
BIT20250025,Postgraduate,Master of Engineering Management,Chinese-taught,3.23,75,6.4,5.9,0,1,IELTS,84.4,HSK5,1,0.78,India,1,0,0,0,31,Male,1,Low,Government,0,4.5,84.9,9.9,7.8,6.4,0.98,Valid,0,0.97,Admitted,NO_SCHOLARSHIP,0
BIT20250026,Chinese Language,Chinese Language and Culture,Chinese-taught,2.65,48,5.2,1.9,2,1,IELTS,66.6,HSK5,0,0.82,Pakistan,1,1,1,0,30,Male,1,Medium,Government,0,7.7,71.9,6.0,6.1,7.8,0.94,Valid,0,0.97,Admitted,NO_SCHOLARSHIP,0
BIT20250027,Undergraduate,Physics,English-taught,3.78,2,4.4,3.5,1,3,IELTS,96.3,NO_EXAM,5,0.98,Kenya,1,1,0,1,18,Male,1,High,Government,0,8.6,80.9,7.3,6.6,9.3,0.75,Valid,0,0.91,Admitted,Partial,17878
BIT20250028,Postgraduate,Mathematics,English-taught,3.61,76,7.5,3.5,0,1,TOEFL,57.4,HSK3,10,0.78,Ethiopia,0,1,0,0,26,Female,1,Low,Self-funded,0,5.1,76.7,9.9,8.7,7.9,0.74,Valid,0,0.93,Rejected,None,0
BIT20250029,Postgraduate,Theoretical Economics,English-taught,3.49,54,9.9,4.7,1,4,IELTS,65.2,HSK1,7,0.86,Russia,0,1,0,1,34,Female,1,Low,Company,1,8.4,78.1,5.2,6.7,6.1,0.87,Valid,0,0.91,Admitted,NO_SCHOLARSHIP,0
BIT20250030,Undergraduate,Life Science,Chinese-taught,3.91,6,5.0,3.3,1,5,IELTS,90.3,HSK5,0,0.71,Thailand,0,1,0,1,32,Male,1,Medium,University,0,9.3,78.9,8.5,7.5,9.3,0.92,Valid,0,0.91,Admitted,Partial,22171
BIT20250031,Postgraduate,Computer Science and Technology,Chinese-taught,2.92,40,4.3,1.1,0,1,IELTS,90.3,HSK6,2,0.89,Ethiopia,1,1,1,1,22,Female,0,High,Company,0,9.9,73.4,6.9,5.6,8.0,0.97,Valid,2,0.98,Rejected,None,0
BIT20250032,Undergraduate,Chemistry and Chemical Engineering,English-taught,4.0,93,8.7,1.5,0,1,IELTS,78.6,NO_EXAM,0,0.98,Morocco,0,0,1,1,21,Male,0,Medium,Government,0,6.5,87.5,9.5,9.3,6.2,0.97,Valid,0,0.84,Rejected,None,0
BIT20250033,Undergraduate,Computer Science and Technology,English-taught,3.67,94,5.5,0.3,0,3,IELTS,86.5,NO_EXAM,9,0.97,Mongolia,1,1,0,1,21,Male,0,Medium,Government,0,4.2,69.9,9.6,8.7,7.8,0.75,Valid,0,0.89,Admitted,Partial,20470
BIT20250034,Dual Degree,Joint Business Administration Program,English-taught,3.21,2,9.0,4.7,1,3,IELTS,59.7,NO_EXAM,8,0.85,Malaysia,1,1,0,0,32,Female,1,Medium,Government,0,6.5,67.0,6.9,8.8,8.4,1.0,Valid,1,0.92,Rejected,None,0
BIT20250035,Dual Degree,Joint Mechanical Engineering,English-taught,3.75,73,8.2,9.5,0,3,IELTS,92.1,NO_EXAM,6,0.89,Morocco,1,1,1,0,22,Male,1,Low,Company,1,8.0,72.1,6.1,5.9,8.4,0.75,Valid,0,0.95,Admitted,Full,46585
BIT20250036,Chinese Language,Chinese Language and Culture,Chinese-taught,2.86,2,9.7,1.2,0,2,DUOLINGO,87.5,HSK5,7,0.87,Pakistan,0,1,0,0,34,Female,1,Medium,Government,0,9.3,88.8,7.1,7.5,8.6,0.95,Valid,0,0.95,Admitted,NO_SCHOLARSHIP,0
BIT20250037,Undergraduate,Medical Technology,English-taught,2.97,93,6.5,9.5,0,2,NO_EXAM,84.5,NO_EXAM,8,0.72,Brazil,0,0,0,0,24,Male,1,Low,Self-funded,0,9.6,83.4,9.8,5.1,9.5,0.88,Valid,0,0.82,Rejected,None,0
BIT20250038,Undergraduate,Art and Design,Chinese-taught,3.06,97,8.0,7.3,1,2,IELTS,85.2,HSK5,2,0.75,Egypt,1,0,0,0,23,Male,1,Low,Government,0,9.5,62.2,6.4,6.6,9.1,0.9,Valid,0,0.84,Rejected,None,0
BIT20250039,Postgraduate,Biomedical Engineering,English-taught,3.09,74,6.8,6.4,1,1,TOEFL,89.9,NO_EXAM,9,0.99,Mongolia,0,1,1,0,32,Female,1,Medium,Government,0,7.9,86.0,9.9,6.7,8.0,0.88,Valid,1,0.98,Admitted,NO_SCHOLARSHIP,0
BIT20250040,Postgraduate,Chemical Engineering and Technology,English-taught,2.88,98,7.8,6.5,1,1,IELTS,84.7,HSK1,10,0.78,India,0,0,0,0,31,Male,1,Medium,Government,0,8.1,79.5,9.1,9.6,5.2,0.96,Valid,0,0.87,Admitted,NO_SCHOLARSHIP,0
BIT20250041,Undergraduate,Mechanical Engineering,English-taught,3.79,55,6.7,8.3,0,2,IELTS,66.3,NO_EXAM,1,0.82,Zimbabwe,0,1,0,0,27,Male,1,High,University,1,4.0,75.8,6.3,10.0,8.7,0.89,Valid,1,0.8,Rejected,None,0
BIT20250042,Postgraduate,Theoretical Economics,English-taught,3.2,72,5.1,1.1,0,2,IELTS,100.0,HSK1,5,0.85,Malaysia,1,1,0,1,23,Female,1,Low,Government,0,6.2,77.6,9.0,8.1,9.9,0.95,Valid,2,0.84,Rejected,None,0
BIT20250043,Undergraduate,Management,English-taught,3.44,60,7.0,5.0,2,1,IELTS,97.0,NO_EXAM,4,0.99,Pakistan,1,1,0,1,27,Male,1,Low,Government,0,9.4,66.7,5.2,7.6,6.5,0.75,Valid,0,0.99,Admitted,NO_SCHOLARSHIP,0
BIT20250044,Dual Degree,Joint Computer Science Program,English-taught,3.07,97,7.2,7.0,1,3,TOEFL,72.2,HSK3,3,0.91,Mongolia,0,1,0,1,26,Male,1,Medium,Self-funded,0,8.1,81.7,7.7,7.2,8.0,0.96,Valid,0,0.86,Admitted,NO_SCHOLARSHIP,0
BIT20250045,Undergraduate,Chemistry and Chemical Engineering,Chinese-taught,2.57,6,8.9,5.9,0,3,IELTS,81.5,HSK5,5,0.89,Zimbabwe,1,0,0,0,30,Female,0,Low,Self-funded,0,6.8,67.3,6.8,5.1,8.8,1.0,Valid,0,0.92,Admitted,NO_SCHOLARSHIP,0
BIT20250046,Postgraduate,Education,English-taught,3.41,19,8.4,8.3,1,4,IELTS,82.6,HSK3,5,0.86,Kazakhstan,0,1,1,0,31,Male,1,Low,Self-funded,0,4.6,76.5,7.1,9.0,8.2,0.9,Valid,2,0.95,Rejected,None,0
BIT20250047,Undergraduate,Optics and Photonics,English-taught,2.54,96,8.0,0.7,0,1,TOEFL,95.8,HSK2,11,0.91,Indonesia,1,1,0,0,18,Female,1,Medium,Company,0,5.5,76.5,7.4,8.4,9.6,0.99,Valid,0,0.93,Admitted,NO_SCHOLARSHIP,0
BIT20250048,Postgraduate,Education,English-taught,3.27,27,4.7,6.9,1,3,TOEFL,63.4,NO_EXAM,2,0.9,Morocco,0,1,1,0,18,Female,1,Low,Self-funded,1,7.3,87.7,7.5,8.2,7.4,0.77,Valid,0,0.88,Admitted,Partial,22054
BIT20250049,Postgraduate,Chemistry,Chinese-taught,2.75,1,8.3,5.3,0,1,IELTS,80.0,HSK5,1,0.97,Ethiopia,1,0,1,0,26,Male,1,High,Government,0,9.4,80.4,8.3,9.0,7.7,0.95,Valid,0,0.89,Admitted,NO_SCHOLARSHIP,0
BIT20250050,Undergraduate,Humanities and Social Sciences,Chinese-taught,4.0,33,7.0,3.8,2,3,IELTS,67.4,HSK5,8,0.86,Mongolia,0,0,0,0,22,Male,1,Medium,Self-funded,0,4.6,87.1,8.5,9.6,5.2,0.75,Valid,0,0.97,Admitted,NO_SCHOLARSHIP,0
BIT20250051,Dual Degree,Joint Mechanical Engineering,English-taught,3.66,40,9.4,3.4,0,1,IELTS,82.1,HSK3,7,0.83,Indonesia,1,1,0,0,34,Female,1,High,Self-funded,0,4.9,68.0,9.9,6.9,9.5,0.85,Invalid,0,0.93,Admitted,Partial,17220
BIT20250052,Chinese Language,Chinese Language and Culture,Chinese-taught,3.34,32,9.5,6.2,0,1,IELTS,80.3,HSK5,3,0.94,Zimbabwe,0,0,0,1,33,Male,1,High,University,0,7.9,78.9,8.8,7.1,6.3,0.9,Valid,0,0.8,Rejected,None,0
BIT20250053,Dual Degree,Joint Mechanical Engineering,Chinese-taught,3.81,69,4.3,8.9,1,2,IELTS,85.8,HSK5,5,0.94,India,1,0,0,1,29,Female,1,Low,Company,0,5.8,85.3,8.4,9.9,9.9,0.9,Valid,0,0.84,Rejected,None,0
BIT20250054,Chinese Language,Chinese Language and Culture,Chinese-taught,2.96,17,8.9,5.0,3,2,IELTS,79.0,HSK5,2,0.75,Kenya,1,0,0,0,22,Male,1,Medium,University,0,5.0,92.4,7.0,8.3,6.0,0.9,Valid,0,0.86,Admitted,NO_SCHOLARSHIP,0
BIT20250055,Postgraduate,Information and Communication Engineering,English-taught,3.52,8,4.2,8.2,1,1,TOEFL,77.5,NO_EXAM,10,0.77,Kenya,1,1,0,0,23,Male,1,Low,Self-funded,0,5.1,68.6,5.6,9.3,6.3,0.8,Valid,0,0.87,Admitted,Full,58209
BIT20250056,Dual Degree,Joint Mechanical Engineering,English-taught,3.38,57,6.2,4.0,0,0,TOEFL,91.2,NO_EXAM,7,0.99,Indonesia,1,1,0,0,28,Male,0,Low,Government,1,7.0,71.6,5.3,6.1,7.4,0.99,Valid,0,0.92,Admitted,NO_SCHOLARSHIP,0
BIT20250057,Undergraduate,Foreign Languages,English-taught,3.41,42,7.3,1.0,0,0,TOEFL,89.5,HSK3,2,0.83,Mongolia,0,1,0,0,23,Female,1,High,Company,1,7.5,85.1,7.4,6.6,8.3,0.7,Valid,0,0.87,Admitted,Partial,24595
BIT20250058,Undergraduate,Computer Science and Technology,English-taught,3.81,98,4.9,0.6,0,3,IELTS,90.5,NO_EXAM,1,0.86,Malaysia,0,1,0,1,27,Male,1,Low,Self-funded,0,9.4,96.1,8.3,7.0,7.2,0.89,Valid,0,0.97,Admitted,Full,49212
BIT20250059,Undergraduate,Economics,English-taught,3.59,9,8.5,0.5,1,0,IELTS,83.2,HSK3,6,0.79,France,0,0,0,1,32,Female,1,Low,University,1,7.2,82.9,8.3,6.6,6.8,0.96,Valid,0,0.89,Admitted,NO_SCHOLARSHIP,0
BIT20250060,Undergraduate,Information and Electronics,Chinese-taught,3.42,87,4.1,3.8,0,1,IELTS,79.3,HSK5,2,0.84,Russia,0,1,1,0,24,Female,1,Low,Company,0,8.1,68.9,9.8,9.4,7.7,0.97,Valid,0,0.9,Admitted,Partial,19875
BIT20250061,Undergraduate,Physics,Chinese-taught,2.64,35,5.0,3.4,1,1,TOEFL,83.8,HSK5,8,0.92,Indonesia,1,0,0,0,20,Male,1,Low,Self-funded,0,5.1,69.1,6.9,7.6,9.8,0.92,Valid,0,0.89,Admitted,NO_SCHOLARSHIP,0
BIT20250062,Undergraduate,Information and Electronics,English-taught,2.92,71,7.5,7.2,1,3,IELTS,90.0,NO_EXAM,2,0.84,Russia,1,1,0,0,33,Male,1,Medium,Self-funded,0,8.3,81.3,8.1,9.8,9.8,0.87,Valid,0,0.86,Admitted,NO_SCHOLARSHIP,0
BIT20250063,Chinese Language,Chinese Language and Culture,Chinese-taught,3.25,79,8.3,7.4,0,1,DUOLINGO,63.2,HSK6,7,0.79,Pakistan,0,1,0,0,30,Male,1,Medium,Self-funded,0,7.9,83.6,9.4,6.6,6.6,0.84,Valid,1,0.94,Admitted,Partial,29889
BIT20250064,Undergraduate,Management,English-taught,3.34,53,9.5,0.5,1,2,TOEFL,88.9,NO_EXAM,1,0.73,Russia,1,0,0,1,34,Female,1,Medium,Government,0,5.3,77.8,7.0,5.2,8.4,0.83,Valid,0,0.85,Admitted,NO_SCHOLARSHIP,0
BIT20250065,Undergraduate,Mathematics and Statistics,English-taught,2.85,54,8.2,2.2,0,1,DUOLINGO,88.1,NO_EXAM,8,0.98,Indonesia,0,0,0,1,21,Female,1,High,Self-funded,0,8.0,69.2,7.4,5.7,8.6,0.83,Valid,2,0.94,Rejected,None,0
BIT20250066,Postgraduate,Statistics,English-taught,4.0,84,8.0,2.7,0,1,TOEFL,85.6,NO_EXAM,0,0.96,Mongolia,1,1,0,0,21,Male,1,Low,Self-funded,1,5.3,91.0,9.6,6.1,8.3,0.91,Valid,0,0.91,Admitted,Partial,27678
BIT20250067,Undergraduate,Life Science,English-taught,3.91,25,6.4,5.5,0,2,NO_EXAM,83.5,NO_EXAM,11,0.94,Malaysia,1,0,0,0,29,Male,1,Low,Government,0,7.6,76.5,7.8,8.2,5.6,0.92,Valid,0,0.82,Rejected,None,0
BIT20250068,Chinese Language,Chinese Language and Culture,Chinese-taught,3.54,67,4.0,1.4,0,3,TOEFL,59.3,HSK6,2,0.91,France,1,1,0,1,21,Male,1,Low,Self-funded,0,8.0,85.3,9.0,5.9,7.7,0.85,Valid,2,0.8,Rejected,None,0
BIT20250069,Undergraduate,Mathematics and Statistics,English-taught,3.33,62,4.7,1.3,0,2,NO_EXAM,80.6,NO_EXAM,10,0.85,Kenya,1,1,0,0,34,Male,1,Medium,Self-funded,1,8.2,62.3,9.7,6.9,8.8,0.92,Valid,0,0.83,Rejected,None,0
BIT20250070,Dual Degree,Joint Mechanical Engineering,English-taught,3.22,55,7.2,9.4,0,0,IELTS,100.0,NO_EXAM,1,0.97,Russia,1,1,0,0,23,Male,1,Medium,University,0,9.5,92.0,7.9,9.0,6.0,0.86,Valid,0,0.95,Admitted,Partial,29369
BIT20250071,Chinese Language,Chinese Language and Culture,Chinese-taught,2.92,46,8.1,8.0,1,1,IELTS,85.1,HSK5,11,0.94,Egypt,1,1,0,0,22,Male,1,High,University,0,9.7,73.2,5.5,5.6,6.7,0.73,Valid,0,0.88,Admitted,NO_SCHOLARSHIP,0
BIT20250072,Undergraduate,Physics,Chinese-taught,3.33,24,6.5,1.8,0,1,TOEFL,81.9,HSK5,6,0.94,Zimbabwe,0,1,0,0,19,Male,1,Medium,Government,0,8.9,93.4,9.1,5.4,6.0,0.96,Valid,0,0.96,Admitted,Partial,22339
BIT20250073,Undergraduate,Information and Electronics,English-taught,3.4,98,8.4,4.1,0,1,NO_EXAM,85.2,NO_EXAM,4,0.79,Kazakhstan,1,0,0,0,28,Male,1,Low,University,1,9.3,86.1,9.1,7.7,9.4,0.96,Valid,0,0.9,Admitted,NO_SCHOLARSHIP,0
BIT20250074,Chinese Language,Chinese Language and Culture,Chinese-taught,2.8,46,7.1,3.6,2,2,IELTS,88.5,HSK5,7,0.83,Russia,1,0,0,0,30,Male,1,Low,Self-funded,0,4.1,65.7,5.6,8.5,9.3,0.78,Valid,0,0.81,Rejected,None,0
BIT20250075,Postgraduate,Statistics,English-taught,3.43,22,4.4,7.9,1,1,IELTS,91.6,NO_EXAM,1,0.91,Egypt,1,1,0,0,22,Male,0,Medium,Self-funded,0,6.2,82.5,7.7,9.6,5.8,0.94,Valid,0,0.97,Admitted,Partial,24138
BIT20250076,Postgraduate,Business Administration,Chinese-taught,3.24,11,5.2,5.1,0,0,TOEFL,82.7,HSK5,7,0.81,Ethiopia,1,1,0,0,25,Male,0,Medium,University,0,4.2,96.6,7.4,8.3,8.8,0.85,Valid,0,0.99,Admitted,Partial,28622
BIT20250077,Chinese Language,Chinese Language and Culture,Chinese-taught,2.54,48,9.0,1.3,1,1,TOEFL,89.2,HSK5,6,0.85,India,1,0,0,0,28,Male,1,Low,Government,0,5.3,74.0,9.2,9.7,6.8,0.74,Valid,0,0.81,Rejected,None,0
BIT20250078,Undergraduate,Physics,English-taught,2.96,8,8.3,7.4,0,4,IELTS,100.0,NO_EXAM,11,0.89,France,1,0,0,1,21,Male,1,Medium,Self-funded,1,6.3,96.6,6.4,6.2,8.4,0.82,Invalid,1,0.84,Rejected,None,0
BIT20250079,Undergraduate,Materials Science and Engineering,English-taught,3.13,39,9.4,4.0,0,2,TOEFL,95.1,NO_EXAM,10,0.83,Malaysia,0,0,0,0,32,Male,1,High,Self-funded,0,9.2,83.9,7.1,6.7,7.5,0.72,Valid,0,0.94,Admitted,NO_SCHOLARSHIP,0
BIT20250080,Undergraduate,Aerospace Engineering,English-taught,4.0,35,4.7,2.6,2,0,NO_EXAM,100.0,NO_EXAM,4,0.94,Ethiopia,1,1,0,1,22,Male,1,Medium,University,1,7.1,93.4,8.0,9.2,7.4,0.94,Valid,0,1.0,Admitted,Partial,22204
BIT20250081,Chinese Language,Chinese Language and Culture,Chinese-taught,3.52,49,9.9,3.8,1,2,DUOLINGO,78.4,HSK5,1,0.73,Russia,1,1,0,0,29,Male,1,Medium,Self-funded,0,7.9,81.6,7.6,9.1,9.4,0.76,Valid,0,0.98,Admitted,Partial,24797
BIT20250082,Postgraduate,Physics,English-taught,2.77,46,5.3,5.0,0,0,IELTS,100.0,NO_EXAM,9,0.92,Indonesia,1,1,0,0,21,Male,1,Medium,University,0,6.2,78.8,9.8,8.3,8.2,0.75,Valid,0,0.82,Rejected,None,0
BIT20250083,Undergraduate,Mechatronical Engineering,Chinese-taught,3.49,38,4.1,3.4,0,4,IELTS,77.1,HSK6,10,0.74,France,0,1,0,1,21,Male,1,Low,Government,1,7.6,98.4,9.8,7.5,6.2,0.76,Valid,0,0.92,Admitted,Full,38472
BIT20250084,Undergraduate,Economics,English-taught,2.68,8,10.0,2.4,0,2,IELTS,88.5,NO_EXAM,6,0.98,Morocco,1,1,1,0,26,Male,1,Low,University,0,8.9,87.2,5.4,5.1,5.6,0.77,Valid,0,0.93,Admitted,NO_SCHOLARSHIP,0
BIT20250085,Undergraduate,Humanities and Social Sciences,English-taught,3.73,54,5.7,4.0,0,1,IELTS,92.3,NO_EXAM,9,0.79,Kenya,1,1,1,0,26,Male,1,Low,Self-funded,1,5.8,77.6,6.5,6.4,9.7,0.9,Valid,1,0.93,Admitted,NO_SCHOLARSHIP,0
BIT20250086,Undergraduate,Aerospace Engineering,Chinese-taught,3.11,37,8.0,0.2,1,1,IELTS,79.9,HSK5,3,0.94,Russia,0,0,0,0,31,Male,1,Low,Self-funded,0,9.6,84.2,5.0,5.8,5.8,0.89,Valid,1,0.91,Admitted,NO_SCHOLARSHIP,0
BIT20250087,Postgraduate,Education,Chinese-taught,3.26,91,5.1,7.7,0,2,TOEFL,85.9,HSK5,3,0.86,Kazakhstan,1,0,0,0,25,Male,0,High,Self-funded,1,5.3,74.4,7.1,5.3,8.7,0.74,Valid,0,0.86,Admitted,NO_SCHOLARSHIP,0
BIT20250088,Postgraduate,Design,Chinese-taught,3.83,92,7.5,1.7,0,2,IELTS,94.1,HSK6,7,0.73,Russia,0,1,0,1,18,Female,1,Low,Self-funded,1,9.5,81.1,8.3,8.9,7.5,0.92,Valid,1,0.93,Admitted,Partial,18701
BIT20250089,Chinese Language,Chinese Language and Culture,Chinese-taught,2.79,40,9.4,0.4,0,3,DUOLINGO,77.9,HSK5,5,0.87,Pakistan,0,0,1,0,28,Male,1,Medium,Government,1,4.2,92.0,7.4,5.7,5.7,0.8,Valid,0,0.95,Admitted,NO_SCHOLARSHIP,0
BIT20250090,Postgraduate,Master of Business Administration (MBA),English-taught,2.74,34,5.9,6.5,1,0,NO_EXAM,100.0,NO_EXAM,8,0.97,Indonesia,1,0,1,0,21,Male,1,Medium,Government,1,7.3,78.4,5.3,6.8,8.9,0.84,Valid,1,0.92,Admitted,NO_SCHOLARSHIP,0
BIT20250091,Undergraduate,Mechanical Engineering,English-taught,3.07,96,8.0,7.7,2,2,IELTS,71.2,NO_EXAM,10,0.75,India,1,1,0,0,34,Male,1,Medium,Government,0,9.9,71.3,6.0,9.9,9.5,0.74,Valid,0,0.9,Admitted,NO_SCHOLARSHIP,0
